ip,lat,lon,city,country
94.54.53.26,39.9199,32.8543,Ankara,TR
109.228.241.251,37.025,36.6306,İslahiye,TR
81.214.18.180,40.8389,31.1639,Düzce,TR
176.240.102.19,37.8713,32.4846,Konya,TR
162.120.187.254,41.0138,28.9497,Istanbul,TR
74.125.215.226,41.2563,-95.9404,Omaha,US
188.119.21.16,36.9081,30.6956,Antalya,TR
94.121.90.171,38.7322,35.4853,Kayseri,TR
188.150.43.130,59.3268,18.3897,Gustavsberg,SE
31.56.56.85,-6.5944,106.7892,Bogor,ID
37.28.159.238,54.3523,18.6491,Gdańsk,PL
66.102.9.204,60.5697,27.1979,Hamina,FI
94.54.180.105,41.0138,28.9497,Istanbul,TR
66.249.83.108,35.2271,-80.8431,Charlotte,US
85.106.0.228,40.6533,35.8331,Amasya,TR
46.1.29.125,37.1671,38.7939,Şanlıurfa,TR
162.120.187.223,41.0138,28.9497,Istanbul,TR
66.249.84.140,45.5946,-121.1787,The Dalles,US
66.249.83.107,38.9687,-77.3411,Reston,US
66.102.8.173,33.1963,-80.0143,Moncks Corner,US
85.108.55.110,39.9199,32.8543,Ankara,TR
66.249.83.109,35.2271,-80.8431,Charlotte,US
188.119.54.164,41.0138,28.9497,Istanbul,TR
78.186.104.228,37.7339,27.2928,Davutlar,TR
74.125.208.13,53.33,6.9181,Delfzijl,NL
37.28.156.228,54.3523,18.6491,Gdańsk,PL
74.125.213.44,33.749,-84.388,Atlanta,US
78.163.65.220,41.3781,33.7753,Kastamonu,TR
212.175.130.20,41.0138,28.9497,Istanbul,TR
66.102.8.171,33.1963,-80.0143,Moncks Corner,US
178.233.89.47,41.0138,28.9497,Istanbul,TR
162.120.187.94,41.0138,28.9497,Istanbul,TR
66.249.84.139,45.5946,-121.1787,The Dalles,US
78.190.132.11,40.8028,29.4307,Gebze,TR
66.102.9.205,60.5697,27.1979,Hamina,FI
85.107.145.70,39.4242,29.9833,Kütahya,TR
74.125.213.45,33.749,-84.388,Atlanta,US
78.162.46.71,36.9081,30.6956,Antalya,TR
95.173.235.199,37.1671,38.7939,Şanlıurfa,TR
95.65.135.213,41.0138,28.9497,Istanbul,TR
95.0.67.81,39.9199,32.8543,Ankara,TR
74.125.210.173,33.1963,-80.0143,Moncks Corner,US
82.222.167.250,39.9199,32.8543,Ankara,TR
85.153.235.178,37.0594,37.3825,Gaziantep,TR
176.55.210.86,41.0138,28.9497,Istanbul,TR
188.150.14.254,59.6162,16.5528,Västerås,SE
74.125.215.225,41.2563,-95.9404,Omaha,US
74.125.215.227,41.2563,-95.9404,Omaha,US
46.1.29.119,37.5847,36.9264,Kahramanmaraş,TR
188.3.64.33,38.3502,38.3167,Malatya,TR
46.1.253.228,36.9862,35.3253,Adana,TR
109.228.221.124,37.0594,37.3825,Gaziantep,TR
213.149.145.169,41.5667,23.7333,Gotse Delchev,BG
46.196.209.67,37.8713,32.4846,Konya,TR
74.125.210.171,33.1963,-80.0143,Moncks Corner,US
66.102.9.203,60.5697,27.1979,Hamina,FI
74.125.213.43,33.749,-84.388,Atlanta,US
93.185.162.10,-6.2146,106.8451,Jakarta,ID
176.240.100.164,37.8713,32.4846,Konya,TR
193.140.142.177,38.3502,38.3167,Malatya,TR
66.249.84.141,45.5946,-121.1787,The Dalles,US
93.185.162.14,-6.2146,106.8451,Jakarta,ID
74.125.208.12,53.33,6.9181,Delfzijl,NL
37.130.68.82,36.9862,35.3253,Adana,TR
78.174.216.186,39.9086,41.2769,Erzurum,TR
188.132.160.11,41.2826,31.4181,Ereğli,TR
78.175.48.26,39.9199,32.8543,Ankara,TR
74.125.210.172,33.1963,-80.0143,Moncks Corner,US
217.93.218.119,48.7035,9.6521,Göppingen,DE
95.208.173.227,48.7823,9.177,Stuttgart,DE
85.153.237.89,36.9862,35.3253,Adana,TR
72.14.199.203,45.5946,-121.1787,The Dalles,US
66.102.8.172,33.1963,-80.0143,Moncks Corner,US
